No.,Filing Yr,Pub Yr.,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Filing Date,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous,Filing Year,
298,2011,2011,26 May 11,US 2011/0121652 A1,"Guy Sella, Meir Adest, Lior Handelsman, Yoav Galin, Amir Fishelov, Meir Gazit, Ilan Yoskovitch, Yaron Binder",,Solar Monitoring; Solar Inverter,"13/015,612",1/28/2011,PAIRING OF COMPONENTS IN A DIRECT CURRENT DISTRIBUTED POWER GENERATION SYSTEM,28 Jan 11,,,,(Beit Aharon),,Israel,"A method of signaling between a photovoltaic module and an inverter module. The inverter module is connected to the photovoltaic module. In an initial mode of operation an initial code is modulated thereby producing an initial signal. The initial signal is transmitted from the inverter module to the photovoltaic module. The initial signal is received by the photovoltaic module. The operating mode is then changed to a normal mode of power conversion, and during the normal mode of operation a control signal is transmitted from the inverter to the photovoltaic module. A control code is demodulated and received from the control signal. The control code is compared with the initial code producing a comparison. The control command of the control signal is validated as a valid control command from the inverter module with the control command only acted upon when the comparison is a positive comparison.",,Device to allow direct communication between pave module and inverter for purposes of efficiency,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=195&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=4&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,"[0001] The present application is a continuation-in-part of pending U.S. patent application Ser. No. 12/329,525 filed on Dec. 5, 2008 by the present inventors the disclosure of which is included herein by reference. The present application claims priority from pending U.S. patent application Ser. No. 12/788,066 filed on May 26, 2010.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,TRUE,,TRUE,,2011,
18,2011,2012,1 Aug 08,US 2012/0197449 A1,Dean Sanders,Unassigned,Solar Monitoring,"13/016,901",700/291; 710/305,"SYSTEMS, APPARATUS, AND METHODS OF A SOLAR ENERGY GRID INTEGRATED SYSTEM WITH ENERGY STORAGE APPLIANCE ",27 Jan 07,Unknown,Unknown,,"Linden, CA",CA,USA,"A system, method, and apparatus for integrating distributed energy sources, energy storage, and balance of system components into a single device with systems and control for monitoring, measuring, and conserving power generated on the premise. A data processing gateway, hybrid inverter/converter and charge controller provide flexibility in the multi-voltages, output capacities, and photovoltaic array sizes coupled to the apparatus and system. The system and apparatus may be used in various commercial and residential applications. A user may store energy provided by one or more alternate energy sources coupled to an energy storage module. The system provides a compact enclosure that fits within a utility workspace and enclosures that can be mechanically coupled together, placed in parallel or in a series. A method, computer implemented apparatus, computer readable medium, computer implemented method and a system for monitoring energy consumption, selling energy back to a utility company and peak shaving are also provided. ",Solar system monitoring,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=130&p=3&f=G&l=50&d=PG01&S1=%28%28solar.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29+OR+%28photovoltaic.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,,,,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
272,2011,2011,4-Aug-11,US 2011/0186104 A1,"Daniel S. Shugar, Kevin Gibson",Solaria Corporation,Solar Inverter; Solar Mounting/Rack,"13/019,172",2/1/2011,SOLAR MODULE WINDOW SHADE APPARATUS AND METHOD ,1 Feb 11,,,,"Fremont, CA",CA,USA,"A solar module system includes a first transparent substrate member, a second transparent substrate member, and a plurality of photovoltaic members configured in a spatial manner sandwiched between the first substrate member and the second substrate member to allow at least a first portion of light to be transmitted and a second portion of light to be blocked. The system also has one or more inverter devices coupled to the solar module and configured to convert direct current to alternating current. The system may have an electrical cord comprising a first end and a second end, the first end being coupled to the one or more inverter devices and the second end comprising at least a pair of electrodes. The system can be used for indoor use or other application.",,inverter is connected to a solar module in the form of a window shade,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=179&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=4&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,"[0001] This application claims priority to U.S. Provisional Patent Application No. 61/300,436 filed Feb. 1, 2010, which has been incorporated by reference for all purposes.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,TRUE,TRUE,FALSE,,,,2011,
238,2011,2011,18-Aug-11,US 2011/0197418 A1,"Michael Charles Overturf, William D. Taylor, Wojciech Marek Chrosny",,Solar Mounting/Rack,"13/021,770",2/6/2011,String Solar Panel Mounting System,6-Feb-11,,,Global Energy developer,"(New Milford, CT) ",CT,USA,"Mounting system of solar panels (both photovoltaic and solar water heating) using cables and anchored to the sides of the building or to ground mounts is described. The mounting method does not require roof penetrations, minimizing potential for water leaks associated with roof penetrations. The mounting system allows for the panels to be mounted at different heights over the surface of the roof.",A mounting system that uses cable suspension to avoid penetrating the roof to install PV panels,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110197418%22.PGNR.&OS=DN/20110197418&RS=DN/20110197418,,,,[0001] This application refers to provisional application No. 61/305051 with the same title and inventors.,Application ,"""Mounting""(Title) and ""solar"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2011,
254,2011,2011,18-Aug-11,US 2011/0198935 A1,"BRIAN HINMAN, HOSSEIN KAZEMI, WAYNE MILLER","GREENVOLTS, INC",Solar Inverter,"13/028,122",2/15/2011,INVERTER FOR A THREE-PHASE AC PHOTOVOLTAIC SYSTEM,15 Feb 11,Start-up,Privately owned,Thin-film PV hardware,"Fremont, CA",CA,USA,"Various methods and apparatus are described for a photovoltaic system. In an embodiment, pluralities of three-phase Alternating Current (AC) inverter circuits electrically connect into a common three phase AC output. Each of those inverters receives a bipolar DC voltage supplied from its own set of Concentrated PhotoVoltaic (CPV) modules.",system for three phase Inverter for PV system,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=168&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=4&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,"[0001] This application claims the benefit of and priority to U.S. Provisional Application titled ""Single stage DC-to-AC conversion for high efficiency operation of concentrating photovoltaic systems"" filed on Feb. 16, 2010 having application Ser. No. 61/338,313 and U.S. Provisional Application titled ""Integrated electronics system"" filed on Dec. 17, 2010 having application Ser. No. 61/424,537.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2011,
255,2011,2011,18-Aug-11,US 2011/0199707 A1,"HOSSEIN KAZEMI, VIGGO SELCHAU-HANSEN, BRIAN HINMAN","GREENVOLTS, INC",Solar Inverter,"13/028,152",2/15/2011,PHOTOVOLTAIC ARRAY GROUND FAULT DETECTION METHOD FOR UTILITY-SCALE GROUNDED SOLAR ELECTRIC POWER GENERATING SYSTEMS ,15 Feb 11,Start-up,Privately owned,,"Fremont, CA",CA,USA,"Various methods and apparatus are described for a photovoltaic system. In an embodiment, a hybrid grounding circuit as well as a ground fault monitoring circuit are in the inverter circuitry with its switching devices that generate three-phase Alternating Current (AC) voltage. The three-phase AC voltage is supplied to a utility power grid interface transformer, where a primary-side common node of the Utility Power grid interface transformer is connected to Earth ground. Each inverter has 1) its own set of isolation contacts to connect as well as isolate this particular inverter from the utility grid interface transformer, and 2) control components in the ground fault monitoring circuit for controlling operation of the isolation contacts based off a presence of the ground fault detected by the ground fault monitor circuit for that inverter. The inverter circuit receives a DC voltage supplied from its own set of ungrounded Concentrated PhotoVoltaic modules.",,Ground fault detection system within inverters,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=167&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=4&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,"[0001] This application claims the benefit of and priority to U.S. Provisional Application titled ""Single stage DC-to-AC conversion for high efficiency operation of concentrating photovoltaic systems"" filed on Feb. 16, 2010 having application Ser. No. 61/338,313 and U.S. Provisional Application titled ""Integrated electronics system"" filed on Dec. 17, 2010 having application Ser. No. 61/424,537, and U.S. Provisional Application titled ""Photovoltaic array ground fault detection method for utility-scale grounded solar electric power generating systems"" filed on Aug. 2, 2010 having application Ser. No. 61/370,001.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2011,
,2011,2012,16-Aug-12,US 2012/0205149 A1,Daniel Andreas LENEL, AMPHENOL CORPORATION,Solar Mounting/Rack,"13/028,758",2/16/2011,PHOTOVOLTAIC JUNCTION BOX,16-Feb-11,,,Solar Rack manufacturer,"Wallingford, CT",CT,USA,A photovoltaic junction box that comprises a housing that has at least first and second sides and the second side has at least one heat dissipating component. A conductor plate is received in the housing. The conductor plate supports at least one heat emitting component and at least one heat conducting component corresponding to the heat dissipating component of the housing. A mounting flange extends from the second side of the housing. At least a first gap is located between the second side of the housing and the mounting flange. The gap creates an air channel that allows air to flow between the housing and the mounting flange.,,Junction Box mounting system,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120205149%22.PGNR.&OS=DN/20120205149&RS=DN/20120205149,0,0,,,Application Search,Mounting (claims) Photovoltaic (claims),Utility,,,Yes,,,,,,,,,,,2011,
266,2011,2011,18-Aug-11,US 2011/0197946 A1,"Andreas Falk, Gerold Schulze",SMA Solar Technology AG,Solar Inverter,"13/029,585",2/17/2011,Lightning Protection for Power Inverters,17 Feb 11,Established ,Publicly Traded,,Niestetal,,Germany,"An inverter includes two input lines for connecting the inverter to an AC power source, a buffer capacitance effective between the input lines, a grounded potential equalization busbar, an isolation monitoring device monitoring the electrical isolation of one of the two input lines with regard to the potential equalization busbar, and an overvoltage eliminating device having at least one overvoltage eliminator for draining overvoltages from the input lines to the potential equalization busbar. The at least one overvoltage eliminator is connected between that input line, whose electric isolation with regard to the potential equalization busbar is monitored, and the potential equalization busbar, without any fuse being connected in series with the at least one overvoltage eliminator. Any overvoltage eliminator of the overvoltage eliminating device, which is connected between the other of the two input lines and the potential equalization busbar, if present, is connected in series with a fuse.",apparatus to protect inverters from lightening,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=170&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=4&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,TRUE,FALSE,FALSE,,,,2011,
387,2011,2012,31-May-12,US 2012/0134186 A1,"Brian Johnson, Philip Krein, Alexander Gray, Patick L. Chapman",SolarBridge Technologies,Solar Inverter,"13/030,118",2/17/2011,INVERTER ARRAY WITH LOCALIZED INVERTER CONTROL,17-Feb-11,Start-up,Privately owned,,"Austin, TX",TX,USA,An apparatus for delivering AC power to an AC load may include a plurality of inverters to receive direct current (DC) power from a respective DC power source and respectively provide AC power to an AC load. The apparatus may further include a first controller to generate a first control signal based on total AC current and total AC voltage being delivered to the AC load by the plurality of inverters. The apparatus may further include a plurality of secondary controllers to each receive the first control signal and each produce a respective secondary control signal based on the first control signal. The respective secondary control signal for each of the plurality of secondary controllers is configured to control a corresponding one of the plurality of inverters to provide a portion of the AC power.,Power conversion that involved plurality of inverters,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=26&f=G&l=50&co1=AND&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,"This application claims the benefit of priority under 35 U.S.C. .sctn.119 of U.S. Provisional Application Ser. No. 61/417,453 filed on Nov. 29, 2010, the entirety of which is incorporated by reference herein.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2011,
231,2011,2011,1 Sep 11,US 2011/0209422 A1,"Zachary A. King, Andres Murillo",,Solar Mounting/Rack,"13/031,029",2/18/2011,METHOD AND APPARATUS FOR MOUNTING PHOTOVOLTAIC MODULES TO SHINGLED SURFACES,18 Feb 11,Individual,,Unknown,"(Townsend, MA)",MA,USA,"A photovoltaic module for mounting to a roof overlying rafters, wherein the rafters have a given spacing, and wherein the photovoltaic module is to be mounted to the roof with a desired spacing between horizontally-adjacent photovoltaic modules, the photovoltaic module having a width which is a multiple of the given spacing between rafters, after taking into account the desired spacing between horizontally-adjacent photovoltaic modules.",Method and equipment for installing PV modules on shingle roofs,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=135&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,0,0,,"[0001] This patent application claims benefit of pending prior U.S. Provisional Patent Application Ser. No. 61/338,379, filed Feb. 18, 2010 by Zachary A. King et al. for HARDWARE SPECIFICATION FOR MOUNTING PHOTOVOLTAIC MODULES TO SHINGLED SURFACES (Attorney's Docket No. GRRAY-9 PROV), which patent application is hereby incorporated herein by reference.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2011,
